14028S_operons	D23580_operons	LT2_operons	SL1344_operons	ST4-74_operons
14028S---operon_1206	D23580---operon_1074	LT2---operon_1379	SL1344---operon_1383	ST4-74---operon_1116
14028S---operon_2672	D23580---operon_894	LT2---operon_1666	SL1344---operon_2509	ST4-74---operon_1921
14028S---operon_2739	D23580---operon_2312	LT2---operon_980	SL1344---operon_2691	ST4-74---operon_1401
14028S---operon_1660	D23580---operon_2193	LT2---operon_1003	SL1344---operon_1879	ST4-74---operon_2299
14028S---operon_1940	D23580---operon_1699	LT2---operon_991	SL1344---operon_1326	ST4-74---operon_1781
14028S---operon_2512	D23580---operon_999	LT2---operon_2404	SL1344---operon_2749	ST4-74---operon_1904
14028S---operon_1512	D23580---operon_1301	LT2---operon_1814	SL1344---operon_1090	ST4-74---operon_1496
14028S---operon_1990	D23580---operon_2592	LT2---operon_1378	SL1344---operon_1840	ST4-74---operon_2061
14028S---operon_130	D23580---operon_141	LT2---operon_132	SL1344---operon_133	ST4-74---operon_138
14028S---operon_2519	D23580---operon_2200	LT2---operon_1713	SL1344---operon_2381	ST4-74---operon_874
14028S---operon_1842	D23580---operon_1150	LT2---operon_2555	SL1344---operon_2047	ST4-74---operon_1899
14028S---operon_445	D23580---operon_465	LT2---operon_456	SL1344---operon_444	ST4-74---operon_470
14028S---operon_874	D23580---operon_1748	LT2---operon_1047	SL1344---operon_1496	ST4-74---operon_1009
14028S---operon_118	D23580---operon_132	LT2---operon_122	SL1344---operon_121	ST4-74---operon_130
14028S---operon_1476	D23580---operon_1880	LT2---operon_2024	SL1344---operon_1400	ST4-74---operon_2131
14028S---operon_1309	D23580---operon_2063	LT2---operon_2567	SL1344---operon_2598	ST4-74---operon_972
14028S---operon_1784	D23580---operon_860	LT2---operon_2296	SL1344---operon_1223	ST4-74---operon_2530
14028S---operon_2012	D23580---operon_2150	LT2---operon_1566	SL1344---operon_1134	ST4-74---operon_2487
14028S---operon_276	D23580---operon_284	LT2---operon_274	SL1344---operon_279	ST4-74---operon_292
14028S---operon_1709	D23580---operon_896	LT2---operon_2166	SL1344---operon_2076	ST4-74---operon_1409
14028S---operon_673	D23580---operon_700	LT2---operon_692	SL1344---operon_676	ST4-74---operon_706
14028S---operon_852	D23580---operon_1716	LT2---operon_1618	SL1344---operon_1030	ST4-74---operon_1157
14028S---operon_2643	D23580---operon_2556	LT2---operon_2030	SL1344---operon_1974	ST4-74---operon_2046
14028S---operon_1732	D23580---operon_1383	LT2---operon_1621	SL1344---operon_899	ST4-74---operon_2473
14028S---operon_344	D23580---operon_353	LT2---operon_339	SL1344---operon_347	ST4-74---operon_356
14028S---operon_1416	D23580---operon_1022	LT2---operon_1539	SL1344---operon_2152	ST4-74---operon_943
14028S---operon_2622	D23580---operon_1752	LT2---operon_2459	SL1344---operon_994	ST4-74---operon_2391
14028S---operon_1246	D23580---operon_1305	LT2---operon_1168	SL1344---operon_2201	ST4-74---operon_1562
14028S---operon_1583	D23580---operon_2426	LT2---operon_855	SL1344---operon_1375	ST4-74---operon_2313
14028S---operon_1177	D23580---operon_1230	LT2---operon_2463	SL1344---operon_1751	ST4-74---operon_979
14028S---operon_517	D23580---operon_539	LT2---operon_527	SL1344---operon_512	ST4-74---operon_539
14028S---operon_2273	D23580---operon_2472	LT2---operon_1391	SL1344---operon_1302	ST4-74---operon_1914
14028S---operon_350	D23580---operon_360	LT2---operon_347	SL1344---operon_352	ST4-74---operon_364
14028S---operon_1142	D23580---operon_1779	LT2---operon_2214	SL1344---operon_2463	ST4-74---operon_1311
14028S---operon_2043	D23580---operon_1848	LT2---operon_2031	SL1344---operon_1339	ST4-74---operon_1527
14028S---operon_1479	D23580---operon_2333	LT2---operon_1427	SL1344---operon_2868	ST4-74---operon_2040
14028S---operon_1418	D23580---operon_2534	LT2---operon_1731	SL1344---operon_1657	ST4-74---operon_2170
14028S---operon_1575	D23580---operon_1418	LT2---operon_2708	SL1344---operon_2218	ST4-74---operon_1134
14028S---operon_75	D23580---operon_91	LT2---operon_77	SL1344---operon_76	ST4-74---operon_85
14028S---operon_1172	D23580---operon_2692	LT2---operon_1920	SL1344---operon_1021	ST4-74---operon_2369
14028S---operon_2117	D23580---operon_1515	LT2---operon_1759	SL1344---operon_2481	ST4-74---operon_1281
14028S---operon_2264	D23580---operon_990	LT2---operon_2112	SL1344---operon_1443	ST4-74---operon_1125
14028S---operon_1153	D23580---operon_1767	LT2---operon_2008	SL1344---operon_2859	ST4-74---operon_2049
14028S---operon_1063	D23580---operon_1033	LT2---operon_1164	SL1344---operon_2937	ST4-74---operon_2251
14028S---operon_1906	D23580---operon_2236	LT2---operon_2168	SL1344---operon_936	ST4-74---operon_2526
14028S---operon_307	D23580---operon_314	LT2---operon_302	SL1344---operon_310	ST4-74---operon_322
14028S---operon_2665	D23580---operon_2014	LT2---operon_1292	SL1344---operon_2386	ST4-74---operon_2611
14028S---operon_1123	D23580---operon_1031	LT2---operon_1985	SL1344---operon_2654	ST4-74---operon_1394
14028S---operon_501	D23580---operon_522	LT2---operon_512	SL1344---operon_496	ST4-74---operon_523
14028S---operon_2162	D23580---operon_1868	LT2---operon_987	SL1344---operon_995	ST4-74---operon_1099
14028S---operon_1367	D23580---operon_1718	LT2---operon_895	SL1344---operon_1452	ST4-74---operon_983
14028S---operon_2818	D23580---operon_846	LT2---operon_1679	SL1344---operon_1927	ST4-74---operon_1897
14028S---operon_2451	D23580---operon_2715	LT2---operon_926	SL1344---operon_2374	ST4-74---operon_1400
14028S---operon_1005	D23580---operon_2415	LT2---operon_2523	SL1344---operon_3004	ST4-74---operon_2272
14028S---operon_2893	D23580---operon_1157	LT2---operon_1931	SL1344---operon_1135	ST4-74---operon_2695
14028S---operon_1964	D23580---operon_1829	LT2---operon_1673	SL1344---operon_2604	ST4-74---operon_2405
14028S---operon_2247	D23580---operon_2412	LT2---operon_1859	SL1344---operon_1340	ST4-74---operon_2235
14028S---operon_946	D23580---operon_1452	LT2---operon_1562	SL1344---operon_2071	ST4-74---operon_2701
14028S---operon_370	D23580---operon_383	LT2---operon_373	SL1344---operon_372	ST4-74---operon_389
14028S---operon_1542	D23580---operon_1589	LT2---operon_1631	SL1344---operon_1784	ST4-74---operon_2653
14028S---operon_2420	D23580---operon_1772	LT2---operon_2113	SL1344---operon_1456	ST4-74---operon_2013
14028S---operon_2177	D23580---operon_2563	LT2---operon_2637	SL1344---operon_1917	ST4-74---operon_1946
14028S---operon_2895	D23580---operon_2465	LT2---operon_2503	SL1344---operon_1651	ST4-74---operon_2341
14028S---operon_1117	D23580---operon_1936	LT2---operon_2700	SL1344---operon_2897	ST4-74---operon_2225
14028S---operon_951	D23580---operon_2258	LT2---operon_988	SL1344---operon_2416	ST4-74---operon_2420
14028S---operon_824	D23580---operon_2551	LT2---operon_1588	SL1344---operon_1872	ST4-74---operon_1620
14028S---operon_2670	D23580---operon_2095	LT2---operon_2333	SL1344---operon_2035	ST4-74---operon_1188
14028S---operon_2191	D23580---operon_1783	LT2---operon_2359	SL1344---operon_912	ST4-74---operon_2086
14028S---operon_2846	D23580---operon_1642	LT2---operon_1852	SL1344---operon_2113	ST4-74---operon_1046
14028S---operon_1480	D23580---operon_2636	LT2---operon_2579	SL1344---operon_1998	ST4-74---operon_1678
14028S---operon_2001	D23580---operon_973	LT2---operon_2494	SL1344---operon_2496	ST4-74---operon_1272
14028S---operon_389	D23580---operon_407	LT2---operon_395	SL1344---operon_391	ST4-74---operon_409
14028S---operon_494	D23580---operon_514	LT2---operon_504	SL1344---operon_490	ST4-74---operon_516
14028S---operon_1969	D23580---operon_2347	LT2---operon_1422	SL1344---operon_1738	ST4-74---operon_2365
14028S---operon_1179	D23580---operon_1274	LT2---operon_2691	SL1344---operon_1775	ST4-74---operon_1811
14028S---operon_2412	D23580---operon_1244	LT2---operon_2274	SL1344---operon_2699	ST4-74---operon_2208
14028S---operon_1305	D23580---operon_1304	LT2---operon_2681	SL1344---operon_1642	ST4-74---operon_1925
14028S---operon_1747	D23580---operon_2716	LT2---operon_2254	SL1344---operon_2936	ST4-74---operon_1560
14028S---operon_151	D23580---operon_158	LT2---operon_145	SL1344---operon_145	ST4-74---operon_153
14028S---operon_2343	D23580---operon_2208	LT2---operon_2430	SL1344---operon_1472	ST4-74---operon_2081
14028S---operon_1419	D23580---operon_1333	LT2---operon_1797	SL1344---operon_2211	ST4-74---operon_2234
14028S---operon_1946	D23580---operon_1060	LT2---operon_1882	SL1344---operon_2116	ST4-74---operon_1709
14028S---operon_470	D23580---operon_489	LT2---operon_480	SL1344---operon_466	ST4-74---operon_493
14028S---operon_2074	D23580---operon_2800	LT2---operon_2109	SL1344---operon_2541	ST4-74---operon_906
14028S---operon_2737	D23580---operon_2658	LT2---operon_1819	SL1344---operon_1870	ST4-74---operon_1040
14028S---operon_1799	D23580---operon_2205	LT2---operon_1219	SL1344---operon_1645	ST4-74---operon_2504
14028S---operon_2024	D23580---operon_2665	LT2---operon_1924	SL1344---operon_2835	ST4-74---operon_1526
14028S---operon_1841	D23580---operon_2710	LT2---operon_2321	SL1344---operon_1056	ST4-74---operon_1648
14028S---operon_160	D23580---operon_166	LT2---operon_156	SL1344---operon_153	ST4-74---operon_161
14028S---operon_1290	D23580---operon_1525	LT2---operon_2245	SL1344---operon_1692	ST4-74---operon_1836
14028S---operon_2598	D23580---operon_1036	LT2---operon_2602	SL1344---operon_1774	ST4-74---operon_1406
14028S---operon_1325	D23580---operon_2387	LT2---operon_892	SL1344---operon_2209	ST4-74---operon_2168
14028S---operon_2851	D23580---operon_2304	LT2---operon_1108	SL1344---operon_2290	ST4-74---operon_2508
14028S---operon_2419	D23580---operon_2536	LT2---operon_1200	SL1344---operon_1597	ST4-74---operon_859
14028S---operon_896	D23580---operon_2747	LT2---operon_2547	SL1344---operon_1013	ST4-74---operon_2681
14028S---operon_487	D23580---operon_507	LT2---operon_497	SL1344---operon_483	ST4-74---operon_510
14028S---operon_1773	D23580---operon_2345	LT2---operon_2058	SL1344---operon_2294	ST4-74---operon_1075
14028S---operon_258	D23580---operon_260	LT2---operon_254	SL1344---operon_260	ST4-74---operon_271
14028S---operon_51	D23580---operon_63	LT2---operon_53	SL1344---operon_51	ST4-74---operon_54
14028S---operon_1884	D23580---operon_2398	LT2---operon_1900	SL1344---operon_2633	ST4-74---operon_1790
14028S---operon_1847	D23580---operon_2215	LT2---operon_1322	SL1344---operon_1199	ST4-74---operon_1169
14028S---operon_1758	D23580---operon_2191	LT2---operon_2182	SL1344---operon_1370	ST4-74---operon_2087
14028S---operon_319	D23580---operon_325	LT2---operon_313	SL1344---operon_321	ST4-74---operon_333
14028S---operon_2351	D23580---operon_2010	LT2---operon_2683	SL1344---operon_2256	ST4-74---operon_2287
14028S---operon_1737	D23580---operon_924	LT2---operon_1761	SL1344---operon_1041	ST4-74---operon_1577
14028S---operon_2295	D23580---operon_1306	LT2---operon_2297	SL1344---operon_3010	ST4-74---operon_2518
14028S---operon_2123	D23580---operon_1581	LT2---operon_1117	SL1344---operon_2036	ST4-74---operon_2520
14028S---operon_674	D23580---operon_701	LT2---operon_693	SL1344---operon_677	ST4-74---operon_707
14028S---operon_1770	D23580---operon_1831	LT2---operon_1119	SL1344---operon_956	ST4-74---operon_957
14028S---operon_277	D23580---operon_285	LT2---operon_275	SL1344---operon_280	ST4-74---operon_293
14028S---operon_1492	D23580---operon_1639	LT2---operon_1799	SL1344---operon_905	ST4-74---operon_1772
14028S---operon_2539	D23580---operon_1379	LT2---operon_1309	SL1344---operon_850	ST4-74---operon_2122
14028S---operon_1648	D23580---operon_881	LT2---operon_1390	SL1344---operon_955	ST4-74---operon_1762
14028S---operon_1558	D23580---operon_1351	LT2---operon_2331	SL1344---operon_2161	ST4-74---operon_2093
14028S---operon_1184	D23580---operon_2124	LT2---operon_871	SL1344---operon_1603	ST4-74---operon_1849
14028S---operon_1851	D23580---operon_1713	LT2---operon_1074	SL1344---operon_1481	ST4-74---operon_1201
14028S---operon_1237	D23580---operon_2473	LT2---operon_2069	SL1344---operon_2101	ST4-74---operon_1945
14028S---operon_12	D23580---operon_21	LT2---operon_18	SL1344---operon_15	ST4-74---operon_17
14028S---operon_2209	D23580---operon_2631	LT2---operon_2733	SL1344---operon_2567	ST4-74---operon_1630
14028S---operon_1421	D23580---operon_2000	LT2---operon_1543	SL1344---operon_2943	ST4-74---operon_2431
14028S---operon_2369	D23580---operon_1440	LT2---operon_1657	SL1344---operon_1258	ST4-74---operon_1770
14028S---operon_1679	D23580---operon_2533	LT2---operon_911	SL1344---operon_1228	ST4-74---operon_1187
14028S---operon_356	D23580---operon_367	LT2---operon_354	SL1344---operon_358	ST4-74---operon_371
14028S---operon_249	D23580---operon_251	LT2---operon_244	SL1344---operon_249	ST4-74---operon_261
14028S---operon_1270	D23580---operon_1759	LT2---operon_1686	SL1344---operon_1773	ST4-74---operon_1656
14028S---operon_797	D23580---operon_832	LT2---operon_817	SL1344---operon_792	ST4-74---operon_843
14028S---operon_1696	D23580---operon_1598	LT2---operon_2016	SL1344---operon_1238	ST4-74---operon_2347
14028S---operon_2786	D23580---operon_2362	LT2---operon_2196	SL1344---operon_1266	ST4-74---operon_1671
14028S---operon_1550	D23580---operon_1919	LT2---operon_2575	SL1344---operon_1346	ST4-74---operon_1860
14028S---operon_2319	D23580---operon_1463	LT2---operon_1712	SL1344---operon_2336	ST4-74---operon_1599
14028S---operon_2642	D23580---operon_1387	LT2---operon_1861	SL1344---operon_2222	ST4-74---operon_1602
14028S---operon_2188	D23580---operon_2739	LT2---operon_1082	SL1344---operon_2427	ST4-74---operon_2027
14028S---operon_2500	D23580---operon_2732	LT2---operon_2735	SL1344---operon_1465	ST4-74---operon_2202
14028S---operon_1930	D23580---operon_2228	LT2---operon_1773	SL1344---operon_1851	ST4-74---operon_1316
14028S---operon_1565	D23580---operon_2648	LT2---operon_2026	SL1344---operon_1111	ST4-74---operon_2367
14028S---operon_1049	D23580---operon_1341	LT2---operon_2697	SL1344---operon_2029	ST4-74---operon_1130
14028S---operon_2339	D23580---operon_1989	LT2---operon_924	SL1344---operon_1636	ST4-74---operon_897
14028S---operon_2585	D23580---operon_2749	LT2---operon_1792	SL1344---operon_2978	ST4-74---operon_1066
14028S---operon_1993	D23580---operon_1456	LT2---operon_1166	SL1344---operon_2405	ST4-74---operon_2670
14028S---operon_1344	D23580---operon_1454	LT2---operon_2634	SL1344---operon_2247	ST4-74---operon_2552
14028S---operon_1692	D23580---operon_1740	LT2---operon_1002	SL1344---operon_1782	ST4-74---operon_916
14028S---operon_2460	D23580---operon_2042	LT2---operon_1336	SL1344---operon_2578	ST4-74---operon_1433
14028S---operon_2755	D23580---operon_1544	LT2---operon_2032	SL1344---operon_2073	ST4-74---operon_1995
14028S---operon_2071	D23580---operon_2719	LT2---operon_1553	SL1344---operon_1633	ST4-74---operon_1026
14028S---operon_1194	D23580---operon_1013	LT2---operon_1411	SL1344---operon_1294	ST4-74---operon_1438
14028S---operon_1908	D23580---operon_1295	LT2---operon_1627	SL1344---operon_2160	ST4-74---operon_1929
14028S---operon_817	D23580---operon_1340	LT2---operon_2188	SL1344---operon_1429	ST4-74---operon_1514
14028S---operon_1685	D23580---operon_1168	LT2---operon_2003	SL1344---operon_1959	ST4-74---operon_1855
14028S---operon_2207	D23580---operon_1519	LT2---operon_2436	SL1344---operon_1906	ST4-74---operon_2065
14028S---operon_959	D23580---operon_1944	LT2---operon_2645	SL1344---operon_2912	ST4-74---operon_1250
14028S---operon_1508	D23580---operon_2783	LT2---operon_957	SL1344---operon_2572	ST4-74---operon_1013
14028S---operon_2281	D23580---operon_1196	LT2---operon_1610	SL1344---operon_2838	ST4-74---operon_1277
14028S---operon_1948	D23580---operon_2713	LT2---operon_2715	SL1344---operon_891	ST4-74---operon_1806
14028S---operon_287	D23580---operon_293	LT2---operon_282	SL1344---operon_288	ST4-74---operon_301
14028S---operon_185	D23580---operon_194	LT2---operon_185	SL1344---operon_183	ST4-74---operon_190
14028S---operon_1859	D23580---operon_2436	LT2---operon_2730	SL1344---operon_2526	ST4-74---operon_936
14028S---operon_2411	D23580---operon_2501	LT2---operon_2702	SL1344---operon_2933	ST4-74---operon_1396
14028S---operon_749	D23580---operon_777	LT2---operon_767	SL1344---operon_746	ST4-74---operon_789
14028S---operon_1316	D23580---operon_1002	LT2---operon_2384	SL1344---operon_1907	ST4-74---operon_2539
14028S---operon_1169	D23580---operon_997	LT2---operon_2658	SL1344---operon_2099	ST4-74---operon_2247
14028S---operon_291	D23580---operon_300	LT2---operon_286	SL1344---operon_294	ST4-74---operon_306
14028S---operon_1099	D23580---operon_2278	LT2---operon_986	SL1344---operon_2603	ST4-74---operon_982
14028S---operon_567	D23580---operon_592	LT2---operon_579	SL1344---operon_561	ST4-74---operon_589
14028S---operon_1079	D23580---operon_1890	LT2---operon_1499	SL1344---operon_2254	ST4-74---operon_996
14028S---operon_1351	D23580---operon_1019	LT2---operon_1881	SL1344---operon_1809	ST4-74---operon_2221
14028S---operon_2693	D23580---operon_1297	LT2---operon_1332	SL1344---operon_1263	ST4-74---operon_2718
