14028S	D23580	LT2	SL1344	ST4-74
STM14_RS02535	D5R57_RS02360	STM0384	SL1344_RS01965	STM474_RS01965
STM14_RS02540	D5R57_RS02365	STM0385	SL1344_RS01970	STM474_RS01970
STM14_RS02550	D5R57_RS02375	STM0387	SL1344_RS01980	STM474_RS01980
STM14_RS02555	D5R57_RS02380	STM0388	SL1344_RS01985	STM474_RS01985
STM14_RS02560	D5R57_RS02385	STM0389	SL1344_RS01990	STM474_RS01990
STM14_RS02565	D5R57_RS02390	STM0390	SL1344_RS01995	STM474_RS01995
STM14_RS02570	D5R57_RS02395	STM0391	SL1344_RS02000	STM474_RS02000
STM14_RS02580	D5R57_RS02405	STM0393	SL1344_RS02010	STM474_RS02010
STM14_RS02605	D5R57_RS02425	STM0397	SL1344_RS02035	STM474_RS02035
STM14_RS02610	D5R57_RS02430	STM0398	SL1344_RS02040	STM474_RS02040
STM14_RS02615	D5R57_RS02435	STM0399	SL1344_RS02045	STM474_RS02045
STM14_RS02620	D5R57_RS02440	STM0400	SL1344_RS02050	STM474_RS02050
STM14_RS02625	D5R57_RS02445	STM0401	SL1344_RS02055	STM474_RS02055
STM14_RS02640	D5R57_RS02460	STM0404	SL1344_RS02070	STM474_RS02070
STM14_RS02645	D5R57_RS02470	STM0405	SL1344_RS02075	STM474_RS02075
STM14_RS02650	D5R57_RS02475	STM0406	SL1344_RS02080	STM474_RS02080
STM14_RS02655	D5R57_RS02480	STM0407	SL1344_RS02085	STM474_RS02085
STM14_RS02660	D5R57_RS02485	STM0408	SL1344_RS02090	STM474_RS02090
STM14_RS02665	D5R57_RS02490	STM0409	SL1344_RS02095	STM474_RS02095
STM14_RS02670	D5R57_RS02495	STM0410	SL1344_RS02100	STM474_RS02100
STM14_RS02675	D5R57_RS02500	STM0411	SL1344_RS02105	STM474_RS02105
STM14_RS02695	D5R57_RS02525	STM0415	SL1344_RS02125	STM474_RS02125
STM14_RS02700	D5R57_RS02530	STM0416	SL1344_RS02130	STM474_RS02130
STM14_RS02705	D5R57_RS02535	STM0417	SL1344_RS02135	STM474_RS02135
STM14_RS02710	D5R57_RS02540	STM0418	SL1344_RS02140	STM474_RS02140
STM14_RS02715	D5R57_RS02545	STM0419	SL1344_RS02145	STM474_RS02145
STM14_RS02720	D5R57_RS02550	STM0420	SL1344_RS02150	STM474_RS02150
STM14_RS02745	D5R57_RS02575	STM0425	SL1344_RS02175	STM474_RS02175
STM14_RS02775	D5R57_RS02605	STM0431	SL1344_RS02205	STM474_RS02205
STM14_RS02780	D5R57_RS02610	STM0432	SL1344_RS02210	STM474_RS02210
STM14_RS02795	D5R57_RS02625	STM0435	SL1344_RS02225	STM474_RS02225
STM14_RS02805	D5R57_RS02640	STM0437	SL1344_RS02235	STM474_RS02235
STM14_RS02850	D5R57_RS02690	STM0446	SL1344_RS02280	STM474_RS02280
STM14_RS02855	D5R57_RS02705	STM0447	SL1344_RS02285	STM474_RS02285
STM14_RS02860	D5R57_RS02710	STM0448	SL1344_RS02290	STM474_RS02290
STM14_RS02865	D5R57_RS02715	STM0449	SL1344_RS02295	STM474_RS02295
STM14_RS02870	D5R57_RS02720	STM0450	SL1344_RS02300	STM474_RS02300
STM14_RS02875	D5R57_RS02725	STM0451	SL1344_RS02305	STM474_RS02305
STM14_RS02880	D5R57_RS02730	STM0452	SL1344_RS02310	STM474_RS02310
STM14_RS02885	D5R57_RS02735	STM0453	SL1344_RS02315	STM474_RS02315
STM14_RS02890	D5R57_RS02740	STM0454	SL1344_RS02320	STM474_RS02320
STM14_RS02905	D5R57_RS02755	STM0457	SL1344_RS02335	STM474_RS02335
STM14_RS02915	D5R57_RS02765	STM0459	SL1344_RS02345	STM474_RS02345
STM14_RS02920	D5R57_RS02770	STM0460	SL1344_RS02350	STM474_RS02350
STM14_RS02925	D5R57_RS02775	STM0461	SL1344_RS02355	STM474_RS02355
STM14_RS02930	D5R57_RS02785	STM0462	SL1344_RS02360	STM474_RS02360
STM14_RS02935	D5R57_RS02790	STM0463	SL1344_RS02365	STM474_RS02365
STM14_RS02945	D5R57_RS02800	STM0465	SL1344_RS02375	STM474_RS02375
STM14_RS02960	D5R57_RS02820	STM0469	SL1344_RS02390	STM474_RS02390
STM14_RS02965	D5R57_RS02825	STM0470	SL1344_RS02395	STM474_RS02395
STM14_RS03000	D5R57_RS02860	STM0477	SL1344_RS02430	STM474_RS02430
STM14_RS03005	D5R57_RS02865	STM0478	SL1344_RS02435	STM474_RS02435
STM14_RS03025	D5R57_RS02885	STM0482	SL1344_RS02455	STM474_RS02455
STM14_RS03030	D5R57_RS02890	STM0483	SL1344_RS02460	STM474_RS02460
STM14_RS03035	D5R57_RS02895	STM0484	SL1344_RS02465	STM474_RS02465
STM14_RS03040	D5R57_RS02900	STM0485	SL1344_RS02470	STM474_RS02470
STM14_RS03045	D5R57_RS02905	STM0486	SL1344_RS02475	STM474_RS02475
STM14_RS03050	D5R57_RS02910	STM0487	SL1344_RS02480	STM474_RS02480
STM14_RS03055	D5R57_RS02920	STM0488	SL1344_RS02485	STM474_RS02485
STM14_RS03060	D5R57_RS02930	STM0489	SL1344_RS02490	STM474_RS02490
STM14_RS03070	D5R57_RS02940	STM0491	SL1344_RS02500	STM474_RS02500
STM14_RS03085	D5R57_RS02955	STM0494	SL1344_RS02515	STM474_RS02515
STM14_RS03110	D5R57_RS02980	STM0499	SL1344_RS02540	STM474_RS02540
STM14_RS03125	D5R57_RS02995	STM0502	SL1344_RS02555	STM474_RS02555
STM14_RS03130	D5R57_RS03000	STM0503	SL1344_RS02560	STM474_RS02560
STM14_RS03150	D5R57_RS03020	STM0507	SL1344_RS02580	STM474_RS02580
STM14_RS03155	D5R57_RS03025	STM0508	SL1344_RS02585	STM474_RS02585
STM14_RS03160	D5R57_RS03030	STM0509	SL1344_RS02590	STM474_RS02590
STM14_RS03165	D5R57_RS03035	STM0510	SL1344_RS02595	STM474_RS02595
STM14_RS03170	D5R57_RS03040	STM0511	SL1344_RS02600	STM474_RS02600
STM14_RS03175	D5R57_RS03045	STM0512	SL1344_RS02605	STM474_RS02605
STM14_RS03190	D5R57_RS03060	STM0515	SL1344_RS02620	STM474_RS02620
STM14_RS03195	D5R57_RS03065	STM0516	SL1344_RS02625	STM474_RS02625
STM14_RS03200	D5R57_RS03070	STM0517	SL1344_RS02630	STM474_RS02630
STM14_RS03205	D5R57_RS03075	STM0518	SL1344_RS02635	STM474_RS02635
STM14_RS03210	D5R57_RS03080	STM0519	SL1344_RS02640	STM474_RS02640
STM14_RS03215	D5R57_RS03085	STM0520	SL1344_RS02645	STM474_RS02645
STM14_RS03230	D5R57_RS03095	STM0524	SL1344_RS02660	STM474_RS02660
STM14_RS03235	D5R57_RS03100	STM0525	SL1344_RS02665	STM474_RS02665
STM14_RS03255	D5R57_RS03120	STM0529	SL1344_RS02685	STM474_RS02685
STM14_RS03260	D5R57_RS03125	STM0530	SL1344_RS02690	STM474_RS02690
STM14_RS03265	D5R57_RS03130	STM0531	SL1344_RS02695	STM474_RS02695
STM14_RS03270	D5R57_RS03135	STM0532	SL1344_RS02700	STM474_RS02700
STM14_RS03295	D5R57_RS03165	STM0537	SL1344_RS02725	STM474_RS02725
STM14_RS03325	D5R57_RS03200	STM0543	SL1344_RS02755	STM474_RS02755
STM14_RS03330	D5R57_RS03205	STM0544	SL1344_RS02760	STM474_RS02760
STM14_RS03335	D5R57_RS03210	STM0545	SL1344_RS02765	STM474_RS02765
STM14_RS03340	D5R57_RS03215	STM0546	SL1344_RS02770	STM474_RS02770
STM14_RS03345	D5R57_RS03220	STM0547	SL1344_RS02775	STM474_RS02775
STM14_RS03350	D5R57_RS03225	STM0548	SL1344_RS02780	STM474_RS02780
STM14_RS03425	D5R57_RS03300	STM0564	SL1344_RS02850	STM474_RS02850
STM14_RS03430	D5R57_RS03310	STM0565	SL1344_RS02855	STM474_RS02855
STM14_RS03435	D5R57_RS03315	STM0566	SL1344_RS02860	STM474_RS02860
STM14_RS03445	D5R57_RS03325	STM0568	SL1344_RS02870	STM474_RS02870
STM14_RS03455	D5R57_RS03340	STM0570	SL1344_RS02880	STM474_RS02880
STM14_RS03460	D5R57_RS03345	STM0571	SL1344_RS02885	STM474_RS02885
STM14_RS03510	D5R57_RS03395	STM0581	SL1344_RS02935	STM474_RS02935
STM14_RS03535	D5R57_RS03420	STM0586	SL1344_RS02960	STM474_RS02960
